publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
,The New York Times · The New York Times,Video: Opinion | The President Is Lying About Coronavirus,https://www.nytimes.com/video/opinion/100000007038780/trump-lies-about-coronavirus.html,Oregon; The United States; Indiana; Us,indifferent,political failure,American people; medically high-risk patients,curve; ahead of the curve; behind it,passed away,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article assigns responsibility to the President for mismanaging the crisis and failing in testing.,Death is treated as a statistic and political talking point.
"Mar 29, 2020",The New York Times,Arkansas Hunkered Down to Survive Coronavirus. That ...,https://www.nytimes.com/2020/03/29/us/tornado-coronavirus-arkansas.html,Indiana; Arkansas; Jonesboro,tragic,inevitable,religious communities,war; disaster,,racial minorities; working-class; healthcare access; elderly; long COVID,communal,"The article suggests that the spread of the virus was due to individual actions, such as attending a funeral while sick, implying some personal responsibility.",The article does not commodify death but focuses on the communal impact and historical context of natural disasters.
"Mar 26, 2020",The New York Times,"As Coronavirus Spread, Largest Stimulus in History United ...",https://www.nytimes.com/2020/03/26/us/coronavirus-senate-stimulus-package.html,Kentucky; Massachusetts; Oregon; Indiana; History United; Washington,neutral,political failure,Americans,roller coaster negotiations; muscle through; giant slush fund; turning point; convulsed with worry,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; long COVID; workplace safety; healthcare access,absent,"The article assigns responsibility to political parties, particularly highlighting Republican strategies and Democratic opposition.","The article treats the situation as a political talking point and economic issue, focusing on stimulus negotiations rather than individual deaths."
"Mar 17, 2020",The New York Times,"Someday, We'll Look Back on All of This and Write a Novel",https://www.nytimes.com/2020/03/17/books/review/sloane-crosley-pandemic-novel-coronavirus.html,Oregon; Indiana; Maine,other,other,,tentacles; vector for death; nightmare,vector for death,elderly; racial minorities; working-class; disabled; healthcare access; systemic injustice,absent,The article does not assign responsibility for COVID deaths and suggests a focus on artistic response rather than accountability.,The article treats death as a backdrop for artistic creation and a cultural moment rather than a personal or communal loss.
"Mar 12, 2020",The New York Times,Here's the Biggest Thing to Worry About With Coronavirus,https://www.nytimes.com/2020/03/12/upshot/coronavirus-biggest-worry-hospital-capacity.html,Indiana; Italy; The United States; South Korea; China,tragic,systemic injustice,general population,shock; surge capacity,,poverty; racial disparities; elder neglect; long COVID; workplace safety; healthcare access,absent,The article implies systemic failure by highlighting the inadequacy of the healthcare system's capacity.,The article treats potential deaths as a statistic related to healthcare capacity.
"Mar 25, 2020",The New York Times,A Medical Class 'Minted by the Pandemic',https://www.nytimes.com/2020/03/24/health/medical-school-coronavirus-students.html,Indiana,hopeful,inevitable,medical students; medical providers,global health crisis; surge,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article does not assign blame or agency for COVID deaths, suggesting the situation is inevitable.",The article implicitly treats the situation as a statistic and a professional opportunity for medical students.
"Mar 20, 2020",The New York Times,"Before Virus Outbreak, a Cascade of Warnings Went ...",https://www.nytimes.com/2020/03/19/us/politics/trump-coronavirus-outbreak.html,California; West Africa; The United States; Oregon; Indiana; Africa; Ebola,neutral,preventable,health officials; troops,warning shot,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests that the deaths were preventable and highlights gaps in preparedness as a responsibility of government officials.,The article treats death as a statistic and part of a broader narrative of preparedness and response.
"Mar 13, 2020",The New York Times,"Coronavirus Silences the Met Opera, and Poses an ...",https://www.nytimes.com/2020/03/13/arts/music/coronavirus-met-opera.html,Indiana; New York,neutral,inevitable,full-time workers; orchestra; chorus; scenic designers; stage hands; dressers,wave; shore up,closures threaten; financial turbulence,COVID-19 deaths; healthcare access; racial minorities; working-class; elderly; long COVID,absent,The article suggests the financial losses and closures are unavoidable due to the pandemic.,The article treats the impact of COVID-19 as a financial statistic and a cost to cultural institutions.
,The New York Times · The New York Times,Video: How China Is Reshaping the Coronavirus Narrative,https://www.nytimes.com/video/world/asia/100000007024807/china-coronavirus-propaganda.html,China; Washington; Nairobi; The United States; Wuhan; Washington DC; Indiana,other,political failure,Chinese citizens; foreign experts; United States,fight; damage control,positive energy; optimistic view,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article suggests that the Chinese government is responsible for shaping the narrative and controlling information about COVID-19, implying a level of agency in managing perceptions.","The article treats death as a political talking point, focusing on narrative control and international image rather than individual or communal loss."
"Mar 20, 2020",The New York Times,Film Club: 'Coronavirus Racism Infected My High School',https://www.nytimes.com/2020/03/20/learning/film-club-coronavirus-racism-infected-my-high-school.html,The United States; San Francisco; Maine; Italy; Indiana; Manhattan; China,tragic,systemic injustice,Asian-Americans; Chinese; Irish immigrants; Jewish; Chinatown residents,virus spreading; Petri dish for racism,,poverty; healthcare access; long COVID; workplace safety,public,"The article assigns responsibility to societal racism and xenophobia, highlighting how these attitudes are exacerbated during pandemics.",The article does not commodify death but highlights racism as a parallel 'virus' spreading alongside COVID-19.
"Mar 22, 2020",The New York Times,Opinion | 'Covid-19 Kills Only Old People.' Only?,https://www.nytimes.com/2020/03/22/opinion/coronavirus-elderly.html,Wash.; Connecticut; Indiana; Maine; Oregon; Kirkland; The San Francisco Bay Area,tragic,systemic injustice,elderly; national leaders; young adults,second-class citizenship; solitary confinement,Boomer Remover,poverty; racism; long COVID; workplace safety; healthcare access,communal,"The article assigns responsibility to systemic ageism, national leaders, and the Trump administration for inadequate responses and policies.","The article treats death as a political talking point, highlighting systemic failures and ageism."
"Mar 19, 2020",The New York Times,Opinion | My Life Is More 'Disposable' During This Pandemic,https://www.nytimes.com/2020/03/19/opinion/coronavirus-disabled-health-care.html,Indiana; San Francisco; Italy; The Bay Area; Oregon,tragic,systemic injustice,disabled; elderly; Jewish; second-generation Holocaust survivors; affluent people; sick people,black fire on the white fire; love like barnacles,no quality of life; useless eater,poverty; racism; workplace safety; healthcare access,communal,"The article assigns responsibility to societal attitudes and policies that devalue the lives of disabled and elderly people, as well as to affluent individuals who ignore public health advice.",The article implicitly critiques the commodification of death by highlighting how certain lives are deemed less valuable or 'disposable' by society.
"Mar 14, 2020",The New York Times,Here's What's in Congress's Emergency Coronavirus Bill,https://www.nytimes.com/2020/03/14/us/politics/congress-coronavirus-bill.html,Oregon; Indiana,neutral,political failure,employees of businesses with fewer than 500 employees; government workers; large employers; workers at companies with fewer than 50 employees; health care providers; emergency responders,,,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article implies political responsibility by highlighting the contentious negotiations and exemptions that exclude many workers from benefits.,"The article treats the issue as a political and economic matter, focusing on statistics and legislative negotiations rather than personal or communal loss."
"Mar 27, 2020",The New York Times,We Take the Dead From Morning Till Night,https://www.nytimes.com/interactive/2020/03/27/world/europe/coronavirus-italy-bergamo.html,Milan; Indiana; Italy; Oregon; Atalanta; Lombardy,tragic,preventable / political failure,elderly; working-class,war; trenches; air raid sirens,,poverty; healthcare access; long COVID; workplace safety,communal,The article suggests political failure and mixed messages from officials contributed to the deaths.,Death is implicitly treated as a statistic and a consequence of political decisions.
"Mar 12, 2020",The New York Times,"As New Cases Surge, Businesses Face Grim Fallout",https://www.nytimes.com/2020/02/21/world/asia/china-coronavirus.html,Asia; Indiana; Afghanistan; Oregon; South Korea; Iran; Canada; Lebanon; Iraq,neutral,inevitable,travelers; South Korean church members,surge; race; spread,grim fallout,poverty; healthcare access; elderly; racial minorities; working-class; long COVID; workplace safety,absent,"The article suggests that the spread of the virus is difficult to control, indicating an unavoidable nature, but also hints at human error in South Korea.",The article treats death as a statistic and a political talking point.
"Mar 26, 2020",The New York Times,"Even Before Coronavirus, America's Population Was ...",https://www.nytimes.com/2020/03/26/us/population-rate-census.html,Central Florida; Los Angeles; New England; Charlotte; Seattle; Washington; Coronavirus; Washington DC; Las Vegas; Indiana; Western Pennsylvania; Houston; N.C.; Austin; Atlanta; Phoenix; Chicago; America; Texas; New York; Dallas,neutral,inevitable,young families; millennials,glow red; collapse; fled,,COVID-19; healthcare access; elderly; racial minorities; working-class; long COVID,absent,The article does not assign responsibility for COVID deaths and suggests demographic changes as inevitable trends.,The article treats death as a demographic statistic and part of population trends.
"Mar 10, 2020",The New York Times,We Don't Need to Close Schools to Fight the Coronavirus,https://www.nytimes.com/2020/03/10/opinion/coronavirus-school-closing.html,Oregon; The United States; Italy; Japan; Indiana,neutral,preventable,children; parents; communities,fight,,elderly; racial minorities; healthcare access; long COVID; workplace safety,absent,The article suggests that school closures may not be necessary and implies that the decision to close schools is based on unproven assumptions rather than evidence.,The article treats death as a potential outcome to be statistically managed through public health measures.
"Mar 23, 2020",The New York Times,"At Kobe Bryant's High School, Coronavirus Suspends ...",https://www.nytimes.com/2020/03/20/sports/basketball/lower-merion-kobe-bryant.html,Philadelphia; Pennsylvania; Indiana; Pa.; Oregon; Ardmore,eerie,inevitable,students; coaches; players,absence; limbo,eerie absence prevails,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article does not assign responsibility for COVID deaths, suggesting the situation is unavoidable.",The article treats the situation more as a disruption to normalcy and routine rather than focusing on death directly.
"Mar 7, 2020",The New York Times,"Anyone Who Wants a Coronavirus Test Can Have One, ...",https://www.nytimes.com/2020/03/07/us/politics/trump-coronavirus-messaging.html,Oregon; F.D.A.; Indiana,neutral,political failure,,,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; long COVID; workplace safety; healthcare access,absent,"The article suggests a lack of clear communication and potential mismanagement by government officials, implying political responsibility.","The article treats the situation as a political talking point, focusing on communication and policy rather than the human impact of COVID-19 deaths."
,The New York Times · The New York Times,"Video: As the Coronavirus Approaches, Mexico Looks the ...",https://www.nytimes.com/video/world/americas/100000007049738/as-coronavirus-approaches-mexico-president-looks-other-way.html,Mexico; Louisiana; Delaware; Milan; New Delhi; United States; Indiana; The United States; O.E.C.D.; Mexico City; South Korea; New York; El Salvador; Italy; Madrid; Mexico City’S,indifferent,political failure,flight attendants; doctors; government officials,petri dish,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article assigns responsibility to the Mexican government and President López Obrador for not taking adequate measures.,"The article treats death as a political talking point and a statistic, focusing on numbers and international criticism."
"Mar 7, 2020",The New York Times,"No Handshakes, No New Citizens: Coronavirus Halts ...",https://www.nytimes.com/2020/03/07/world/europe/denmark-coronavirus-citizenship.html,Europe; Indiana; Continent; London; Denmark; Eastern Denmark,neutral,inevitable,immigrants; new citizens,,contain the spread; self-isolate,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests the deaths and disruptions are unavoidable due to health recommendations.,"The article treats death as a statistic and a public health issue, focusing on procedural disruptions rather than personal loss."
"Mar 27, 2020",The New York Times,Is Closing the Schools Because of Coronavirus a Good Idea?,https://www.nytimes.com/2020/03/17/upshot/coronavirus-school-closings.html,Indiana,neutral,preventable,children; adults,flatten the curve,,elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests that the spread of COVID-19 can be managed by human actions such as closing schools and following preventive measures.,The article treats the potential overwhelming of the healthcare system as a statistic to be managed.
"Mar 23, 2020",The New York Times,Opinion | Call It 'Coronavirus',https://www.nytimes.com/2020/03/23/opinion/china-coronavirus-racism.html,The United States; San Francisco; Maine; Italy; Indiana; Manhattan; China,tragic,systemic injustice,Asian-Americans; Chinese; Irish immigrants; Jewish people,virus spreading; Petri dish for racism,,poverty; healthcare access; elder neglect; long COVID,absent,The article assigns blame to societal racism and xenophobia exacerbated by the pandemic.,"The article treats death as a political talking point, focusing on the social implications of racism rather than individual loss."
"Mar 28, 2020",The New York Times,The Lost Month: How a Failure to Test Blinded the U.S. ...,https://www.nytimes.com/2020/03/28/us/testing-coronavirus-pandemic.html,F.D.A.; Indiana; United States; Oregon; America,tragic,political failure,,,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article assigns responsibility to government officials and agencies, particularly Mr. Azar, Dr. Redfield, and the C.D.C., for the failure in testing and response.","The article implicitly treats death as a political talking point, focusing on administrative failures and statistics rather than personal stories or human impact."
"Mar 24, 2020",The New York Times,How Is the Coronavirus Outbreak Affecting Your Life?,https://www.nytimes.com/2020/03/20/learning/how-is-the-coronavirus-outbreak-affecting-your-life.html,Indiana; Mexico City; Seattle; Wuhan; Oregon; China,neutral,preventable,elderly; young people; high-risk individuals; medical workers,fight; uncharted territory; isolation paradox,,poverty; racism; workplace safety; healthcare access,absent,"The article suggests that individuals have agency in preventing COVID-19 spread through social distancing, implying responsibility on a personal level.",The article treats death as a statistic in the context of the health system being overwhelmed.
"Mar 31, 2020",The New York Times,The Hardest Questions Doctors May Face: Who Will Be ...,https://www.nytimes.com/2020/03/21/us/coronavirus-medical-rationing.html,Spain; Oregon; Delaware; China; Washington; California; Washington DC; United States; The United States; New Orleans; Indiana; Philadelphia; Houston; Maine; Chicago; America; New York City; Italy; Michigan; Anesthesia; New York; Detroit,tragic,systemic injustice,health care workers; American hospitals; public health officials,war; fight; business,,racial minorities; working-class; elderly; disabled; undocumented immigrants; poverty; racism; long COVID; workplace safety; healthcare access,absent,"The article assigns responsibility to systemic failures in the healthcare system, profit-driven motives, and lack of government preparedness.","The article treats death as a statistic and a political talking point, highlighting systemic failures and shortages."
"Mar 13, 2020",The New York Times,Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/03/13/us/coronavirus-today.html,New York City; The United States; United States; Oregon; Indiana,neutral,inevitable,medical workers,beginning; crushing,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article suggests the deaths are part of a natural progression of the pandemic and focuses on interventions to mitigate impact, implying some level of agency.","The article treats death as a statistic and part of projections, focusing on numbers and potential impact on the healthcare system."
"Mar 16, 2020",The New York Times,Coronavirus Vaccine Dreams,https://www.nytimes.com/2020/03/16/well/family/coronavirus-vaccine.html,Oregon; The United States; Indiana,hopeful,inevitable,general public; children,war; victory; enemy,,racial minorities; working-class; disabled; elderly; healthcare access; systemic factors,absent,"The article suggests that science has the agency to solve the problem, implying that the deaths are inevitable until a vaccine is developed.","The article treats death as a problem to be solved by science, implying it as a hurdle to overcome for normalcy."
"Mar 12, 2020",The New York Times,South Korea Raises Threat Alert Level,https://www.nytimes.com/2020/02/23/world/asia/china-coronavirus.html,Indiana; Oregon; South Korea; China; Weibo,tragic,political failure,Chinese citizens; government officials; whistleblowers,fight; resistance; crackdown,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; healthcare access,public,The article assigns responsibility to the Chinese government for censoring information and punishing whistleblowers.,The article treats Dr. Li's death as a political talking point in the context of freedom of speech.
"Mar 25, 2020",The New York Times,"India Scrambles to Escape a Coronavirus Crisis. So Far, It's ...",https://www.nytimes.com/2020/03/17/world/asia/india-coronavirus.html,Indiana; India; New Delhi; Oregon; Lucknow,indifferent,inevitable,young people; Indian government; doctors,mystery; escape,,elderly; racial minorities; working-class; healthcare access; poverty; long COVID,absent,The article suggests the Indian government is taking action but does not assign blame or agency for potential deaths.,"The article treats the situation as a mystery or anomaly, without focusing on individual deaths or their impact."
"Mar 10, 2020",The New York Times,"As Coronavirus Numbers Rise, C.D.C. Testing Comes ...",https://www.nytimes.com/2020/03/02/health/coronavirus-testing-cdc.html,Indiana,neutral,political failure,,crack in the nation’s public health armor,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article assigns responsibility to the C.D.C. and the federal response, particularly highlighting the Trump administration's role.","The article implicitly treats the issue as a political talking point, focusing on testing as a metric of response rather than addressing the human impact of COVID deaths."
"Mar 28, 2020",The New York Times,Germany Has Relatively Few Deaths From Coronavirus. ...,https://www.nytimes.com/2020/03/28/opinion/germany-coronavirus.html,Germany; Frankfurt; Bavaria; China; Langbroich; Wuhan; Italy; Alps; Indiana,neutral,preventable,elderly; young people,containment; wave,,poverty; racism; healthcare access; long COVID,absent,The article assigns agency to the German authorities and their effective testing and tracking measures.,"The article treats death as a statistic, focusing on fatality rates and infection demographics."
"Mar 23, 2020",The New York Times,"Whose Life is Worth Saving? In Washington State, People ...",https://www.nytimes.com/2020/03/23/us/coronavirus-washington-triage-disabled-handicapped.html,Seattle; United States; Washington State; Indiana; Washington,tragic,systemic injustice,people with disabilities,rationing scheme,end-of-life decisions,elderly; racial minorities; working-class; healthcare access,absent,The article assigns responsibility to the triage care plan and the potential systemic discrimination against people with disabilities.,The article implicitly treats death as a consequence of resource allocation and systemic decision-making.
"Mar 12, 2020",The New York Times,"As China Clamps Down on Negative News, Quarantines ...",https://www.nytimes.com/2020/02/05/world/asia/coronavirus-china.html,Wash.; The United States; Snohomish County; Atlanta; Indiana; China,neutral,inevitable,healthcare workers,fight,,racial minorities; elderly; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; long COVID; workplace safety; healthcare access,absent,"The article suggests local responsibility for containment, implying agency lies with local health authorities.",The article treats the situation as a public health challenge rather than focusing on individual deaths.
"Mar 16, 2020",The New York Times,Coronavirus Outrage Spurs China's Internet Police to Action,https://www.nytimes.com/2020/03/16/business/china-coronavirus-internet-police.html,Indiana; China; Chengdu,other,political failure,internet police; Communist Party; online critics; web users,bulwark against the groundswell of anger,,COVID-19 deaths; healthcare access; elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; long COVID; workplace safety,absent,The article implies responsibility lies with the governance breakdowns and the Communist Party's control over information.,Death is not directly addressed; focus is on political control and censorship.
"Mar 31, 2020",The New York Times,"N.Y.C.'s 911 System Is Overwhelmed. 'I'm Terrified,' a ...",https://www.nytimes.com/2020/03/28/nyregion/nyc-coronavirus-ems.html,Oregon; Indiana,tragic,preventable / systemic injustice,health care workers,overwhelmed,,workplace safety; healthcare access; support systems for healthcare workers,private,"The article suggests systemic issues, such as the employer's demands and overwhelmed healthcare facilities, contributed to the death.",The article does not commodify death but highlights the personal tragedy and systemic failure.
"Mar 23, 2020",The New York Times,Opinion | The Wrong Way to Fight Coronavirus,https://www.nytimes.com/2020/03/23/opinion/letters/coronavirus-quarantine.html,Indiana,critical,preventable,vulnerable; younger people,fight; run its course; walling off; snuffing out,walling off the most vulnerable,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests responsibility lies with public health strategies and criticizes Dr. Katz's approach as potentially harmful.,"The article implicitly treats death as a consequence of policy decisions, focusing on the balance between economic impact and health outcomes."
"Mar 21, 2020",The New York Times,"Italy, Pandemic's New Epicenter, Has Lessons for the World",https://www.nytimes.com/2020/03/21/world/europe/italy-coronavirus-center-lessons.html,Oregon; Lombardy; China; Milan; Italy; New Epicenter; Indiana; Rome,tragic,inevitable,elderly; government officials,epicenter; toll; wave,toll; hit the double digits; passed away,poverty; healthcare access; long COVID; racial minorities,public,The article suggests a lack of early action by government officials but does not explicitly assign blame; it implies the situation escalated beyond control.,The article treats death as a statistic and a marker of the pandemic's severity.
"Mar 13, 2020",The New York Times,Why Soap Works,https://www.nytimes.com/2020/03/13/health/soap-coronavirus-handwashing-germs.html,Oregon; Indiana,neutral,preventable,,war; fight,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article suggests that the deaths are preventable through proper hygiene practices, implying agency lies with individuals and public health measures.",The article does not commodify death; it focuses on the scientific explanation of soap's effectiveness.
"Mar 19, 2020",The New York Times,'Containment Area' Is Ordered for New Rochelle ...,https://www.nytimes.com/2020/03/10/nyregion/coronavirus-new-rochelle-containment-area.html,New York’S; Idaho; Oregon; China; Washington; Rochester; Glen Island; United States; Nassau County; The United States; Indiana; Bronxville; Rockland County; Young Israel; Jones Beach; Israel; Maine; New Rochelle’S; Scarsdale; North Avenue; Staten Island; South Korea; America; Canada; New York City; New Rochelle; The Long Island Sound; New York City’S; New York; Hmm,neutral,inevitable,elderly; health care workers; National Guard; religious communities,war; natural disaster; front lines,containment area; quarantine; hot zone; cold zone,poverty; racism; healthcare access disparities; long COVID,communal,"The article suggests the situation is being managed by government and health officials, implying a sense of agency in controlling the outbreak.",The article treats the situation as a public health challenge with a focus on statistics and containment measures.
"Mar 27, 2020",The New York Times,10 Ways to Ease Your Coronavirus Anxiety,https://www.nytimes.com/2020/03/18/smarter-living/coronavirus-anxiety-tips.html,Oregon; Indiana,hopeful,preventable,elderly; family; friends; neighbors; adult children,fight; process,preparing for the worst; self-care; fear and pain,poverty; racism; healthcare access; long COVID; workplace safety,private,The article suggests individuals have agency to manage their anxiety and take precautionary measures.,The article does not treat death as a statistic or political talking point; it focuses on personal well-being and mental health.
"Mar 10, 2020",The New York Times,"China May Be Beating the Coronavirus, at a Painful Cost",https://www.nytimes.com/2020/03/07/world/asia/china-coronavirus-cost.html,Hubei; Hubei Province; Wuhan; Indiana; China; Beijing,other,political failure / systemic injustice,children; citizens; foreigners,race; fight,,elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests responsibility lies with China's initial concealment and mismanagement of the outbreak.,The article treats death as a statistic and a political talking point.
"Mar 20, 2020",The New York Times,Islands in the U.S. Are Barring All Outsiders to Keep ...,https://www.nytimes.com/2020/03/17/us/north-carolina-and-maine-coronavirus.html,Atlantic; United States; Maine; North Haven; Oregon; Indiana,neutral,inevitable,year-round residents; tourists,insurance; seal,,healthcare access; elderly; racial minorities; working-class; poverty,absent,"The article suggests that the islands' actions are a necessary response to limited resources, implying that the situation is unavoidable rather than assigning blame.","The article treats the potential for COVID deaths as a risk to be managed, akin to an economic or logistical challenge."
"Mar 19, 2020",The New York Times,Opinion | Camus on the Coronavirus,https://www.nytimes.com/2020/03/19/opinion/sunday/coronavirus-camus-plague.html,Oregon; Indiana; Handkerchiefs; Delaware,neutral,inevitable,children,plague; hospice; fight; terror,amelioration of suffering,poverty; racism; healthcare access; elder neglect; workplace safety,communal,"The article suggests that suffering and death are absurd and randomly distributed, implying they are unavoidable.","Death is treated as an inevitable part of life, a condition to be endured rather than a statistic or political point."
